Day,Hour,Total_Vehicles,Signal_1_Vehicles,Signal_2_Vehicles,Signal_3_Vehicles,Signal_1_Timings,Signal_2_Timings,Signal_3_Timings,Avg_Queue_Length,Avg_Delay_Time
Monday,0,116,37,37,42,G:39|R:51,G:55|R:35,G:46|R:44,18.43,14.08
Wednesday,14,855,279,303,273,G:58|R:62,G:28|R:92,G:39|R:81,13.57,22.81
Wednesday,15,334,96,113,125,G:58|R:62,G:25|R:95,G:55|R:65,9.31,25.5
Wednesday,16,229,75,76,78,G:24|R:96,G:53|R:67,G:44|R:76,11.35,21.0
Wednesday,17,621,211,214,196,G:20|R:100,G:54|R:66,G:58|R:62,17.75,10.75
Wednesday,18,472,160,170,142,G:30|R:90,G:39|R:81,G:28|R:92,13.75,27.15
Wednesday,19,880,318,278,284,G:34|R:86,G:33|R:87,G:45|R:75,16.28,19.93
Wednesday,20,485,170,144,171,G:40|R:80,G:36|R:84,G:48|R:72,11.14,25.97
Wednesday,21,207,56,79,72,G:35|R:55,G:58|R:32,G:25|R:65,15.04,29.42
Wednesday,22,107,29,40,38,G:35|R:55,G:30|R:60,G:53|R:37,5.78,21.26
Wednesday,23,367,120,116,131,G:55|R:35,G:37|R:53,G:52|R:38,5.62,42.28
Thursday,0,287,83,111,93,G:26|R:64,G:54|R:36,G:25|R:65,13.85,18.93
Thursday,1,333,119,109,105,G:43|R:47,G:48|R:42,G:52|R:38,17.72,10.64
Thursday,2,112,32,38,42,G:57|R:33,G:21|R:69,G:36|R:54,6.12,28.25
Thursday,3,394,143,137,114,G:57|R:33,G:45|R:45,G:57|R:33,18.2,37.23
Thursday,4,195,55,71,69,G:25|R:65,G:27|R:63,G:43|R:47,15.71,26.92
Thursday,5,127,47,41,39,G:57|R:33,G:32|R:58,G:49|R:41,18.43,41.92
Thursday,6,143,48,44,51,G:52|R:38,G:42|R:48,G:35|R:55,14.17,24.95
Thursday,7,574,197,197,180,G:46|R:74,G:47|R:73,G:35|R:85,10.7,39.32
Thursday,8,261,97,77,87,G:53|R:67,G:40|R:80,G:27|R:93,16.86,11.23
Thursday,9,345,119,107,119,G:59|R:61,G:43|R:77,G:46|R:74,19.39,23.32
Thursday,10,467,161,152,154,G:39|R:81,G:31|R:89,G:46|R:74,16.15,21.85
Thursday,11,810,270,269,271,G:43|R:77,G:52|R:68,G:24|R:96,9.03,13.31
Thursday,12,334,109,111,114,G:34|R:86,G:27|R:93,G:56|R:64,19.42,18.24
Thursday,13,874,317,295,262,G:55|R:65,G:38|R:82,G:24|R:96,14.75,30.59
Thursday,14,705,199,261,245,G:38|R:82,G:56|R:64,G:50|R:70,12.19,10.49
Thursday,15,886,301,300,285,G:28|R:92,G:52|R:68,G:53|R:67,17.48,26.02
Thursday,16,208,62,72,74,G:40|R:80,G:34|R:86,G:53|R:67,17.38,34.4
Thursday,17,681,211,233,237,G:40|R:80,G:33|R:87,G:52|R:68,7.55,17.14
Thursday,18,233,87,68,78,G:35|R:85,G:28|R:92,G:59|R:61,12.58,43.13
Thursday,19,486,164,158,164,G:35|R:85,G:45|R:75,G:20|R:100,7.92,21.36
Thursday,20,732,240,246,246,G:22|R:98,G:30|R:90,G:43|R:77,10.75,23.66
Thursday,21,295,99,96,100,G:49|R:41,G:22|R:68,G:31|R:59,12.83,32.62
Thursday,22,374,112,137,125,G:55|R:35,G:32|R:58,G:20|R:70,7.3,29.28
Thursday,23,187,65,52,70,G:46|R:44,G:44|R:46,G:34|R:56,8.32,39.25
Friday,0,381,121,128,132,G:45|R:45,G:30|R:60,G:46|R:44,5.07,26.85
Friday,1,316,93,119,104,G:42|R:48,G:42|R:48,G:43|R:47,9.06,16.17
Friday,2,141,53,45,43,G:56|R:34,G:37|R:53,G:49|R:41,10.22,18.62
Friday,3,189,69,62,58,G:59|R:31,G:50|R:40,G:59|R:31,15.39,15.04
Friday,4,76,27,31,18,G:27|R:63,G:21|R:69,G:57|R:33,7.01,16.84
Friday,5,141,38,54,49,G:28|R:62,G:42|R:48,G:42|R:48,10.75,29.4
Friday,6,121,47,41,33,G:27|R:63,G:41|R:49,G:54|R:36,15.67,18.3
Friday,7,486,156,173,157,G:36|R:84,G:25|R:95,G:37|R:83,15.72,18.74
Friday,8,706,249,232,225,G:51|R:69,G:22|R:98,G:26|R:94,12.63,30.88
Friday,9,562,198,191,173,G:47|R:73,G:36|R:84,G:37|R:83,7.45,17.01
Friday,10,389,129,130,130,G:43|R:77,G:39|R:81,G:56|R:64,7.63,38.26
Friday,11,829,274,262,293,G:57|R:63,G:32|R:88,G:25|R:95,6.32,22.33
Friday,12,669,232,222,215,G:43|R:77,G:32|R:88,G:39|R:81,10.44,42.46
Friday,13,894,311,304,279,G:20|R:100,G:38|R:82,G:31|R:89,16.26,14.61
Friday,14,370,133,128,109,G:34|R:86,G:24|R:96,G:22|R:98,11.87,20.0
Friday,15,228,71,76,81,G:49|R:71,G:32|R:88,G:26|R:94,12.63,35.35
Friday,16,575,184,204,187,G:57|R:63,G:48|R:72,G:29|R:91,17.26,24.68
Friday,17,462,144,165,153,G:58|R:62,G:27|R:93,G:34|R:86,12.92,24.37
Friday,18,970,316,331,323,G:34|R:86,G:44|R:76,G:20|R:100,15.71,27.24
Friday,19,499,182,160,157,G:52|R:68,G:53|R:67,G:53|R:67,17.47,44.27
Friday,20,761,279,249,233,G:58|R:62,G:41|R:79,G:31|R:89,7.65,24.75
Friday,21,138,44,52,42,G:34|R:56,G:41|R:49,G:32|R:58,17.86,12.2
Friday,22,320,91,109,120,G:40|R:50,G:42|R:48,G:39|R:51,15.95,12.24
Friday,23,171,49,63,59,G:39|R:51,G:31|R:59,G:56|R:34,11.21,28.42
Saturday,0,113,48,36,29,G:34|R:56,G:36|R:54,G:24|R:66,9.86,12.25
Saturday,1,354,109,128,117,G:52|R:38,G:45|R:45,G:48|R:42,15.65,39.91
Saturday,2,155,50,53,52,G:27|R:63,G:23|R:67,G:37|R:53,18.42,37.59
Saturday,3,148,50,48,50,G:47|R:43,G:35|R:55,G:36|R:54,5.17,35.37
Saturday,4,170,53,64,53,G:20|R:70,G:22|R:68,G:21|R:69,8.4,36.26
Saturday,5,85,31,27,27,G:56|R:34,G:41|R:49,G:40|R:50,13.53,20.36
Saturday,6,279,94,98,87,G:49|R:41,G:48|R:42,G:50|R:40,14.39,20.3
Saturday,7,453,160,140,153,G:27|R:93,G:36|R:84,G:49|R:71,5.25,33.12
Saturday,8,288,84,103,101,G:26|R:94,G:48|R:72,G:25|R:95,6.82,11.44
Saturday,9,533,170,194,169,G:44|R:76,G:54|R:66,G:29|R:91,10.95,38.43
Saturday,10,338,125,114,99,G:37|R:83,G:29|R:91,G:51|R:69,15.51,18.32
Saturday,11,605,215,204,186,G:28|R:92,G:28|R:92,G:22|R:98,11.1,25.62
Saturday,12,416,134,131,151,G:33|R:87,G:22|R:98,G:32|R:88,16.61,39.84
Saturday,13,203,77,65,61,G:22|R:98,G:49|R:71,G:57|R:63,12.91,39.85
Saturday,14,758,230,274,254,G:31|R:89,G:55|R:65,G:37|R:83,7.6,13.89
Saturday,15,477,171,164,142,G:23|R:97,G:25|R:95,G:48|R:72,13.79,39.61
Saturday,16,929,292,324,313,G:28|R:92,G:45|R:75,G:56|R:64,11.58,34.99
Saturday,17,350,111,119,120,G:48|R:72,G:27|R:93,G:25|R:95,19.79,14.06
Saturday,18,771,259,260,252,G:45|R:75,G:23|R:97,G:46|R:74,16.96,18.46
Saturday,19,818,275,274,269,G:25|R:95,G:35|R:85,G:25|R:95,9.91,12.58
Saturday,20,922,308,315,299,G:30|R:90,G:39|R:81,G:27|R:93,5.05,18.85
Saturday,21,188,63,67,58,G:59|R:31,G:45|R:45,G:30|R:60,13.78,34.49
Saturday,22,176,55,58,63,G:41|R:49,G:49|R:41,G:35|R:55,18.39,12.16
Saturday,23,263,72,87,104,G:36|R:54,G:29|R:61,G:51|R:39,19.38,38.53
Sunday,0,102,29,36,37,G:23|R:67,G:26|R:64,G:25|R:65,14.19,30.69
Sunday,1,131,56,42,33,G:57|R:33,G:56|R:34,G:29|R:61,11.03,17.87
Sunday,2,126,41,45,40,G:45|R:45,G:52|R:38,G:57|R:33,15.04,36.12
Sunday,3,146,45,48,53,G:21|R:69,G:44|R:46,G:36|R:54,8.46,40.97
Sunday,4,114,37,34,43,G:51|R:39,G:27|R:63,G:32|R:58,9.21,12.18
Sunday,5,278,91,91,96,G:34|R:56,G:23|R:67,G:30|R:60,10.82,22.04
Sunday,6,72,26,21,25,G:53|R:37,G:48|R:42,G:30|R:60,16.9,13.66
Sunday,7,380,118,123,139,G:43|R:77,G:34|R:86,G:45|R:75,18.01,14.69
Sunday,8,273,86,85,102,G:42|R:78,G:45|R:75,G:26|R:94,9.48,13.63
Sunday,9,770,247,245,278,G:54|R:66,G:23|R:97,G:49|R:71,6.92,20.39
Sunday,10,866,278,310,278,G:59|R:61,G:49|R:71,G:20|R:100,17.11,32.3
Sunday,11,668,245,207,216,G:59|R:61,G:56|R:64,G:50|R:70,13.02,28.28
Sunday,12,967,338,296,333,G:42|R:78,G:43|R:77,G:47|R:73,15.33,31.41
Sunday,13,478,155,166,157,G:24|R:96,G:30|R:90,G:39|R:81,13.93,44.14
Sunday,14,381,140,109,132,G:33|R:87,G:51|R:69,G:30|R:90,6.68,44.34
Sunday,15,419,131,157,131,G:41|R:79,G:26|R:94,G:22|R:98,9.92,25.4
Sunday,16,536,161,180,195,G:22|R:98,G:32|R:88,G:53|R:67,13.91,13.63
Sunday,17,940,312,298,330,G:33|R:87,G:52|R:68,G:21|R:99,6.95,42.92
Sunday,18,383,136,113,134,G:32|R:88,G:30|R:90,G:26|R:94,15.92,44.55
Sunday,19,859,279,286,294,G:26|R:94,G:32|R:88,G:23|R:97,15.1,34.94
Sunday,20,853,266,288,299,G:29|R:91,G:24|R:96,G:49|R:71,12.71,29.19
Sunday,21,235,83,76,76,G:44|R:46,G:40|R:50,G:25|R:65,6.35,29.84
Sunday,22,225,57,78,90,G:34|R:56,G:50|R:40,G:57|R:33,5.63,44.66
Sunday,23,148,52,45,51,G:26|R:64,G:48|R:42,G:27|R:63,16.32,22.82
