Day,Hour,Total_Vehicles,Signal_1_Vehicles,Signal_2_Vehicles,Signal_3_Vehicles,Signal_4_Vehicles,Signal_1_Timings,Signal_2_Timings,Signal_3_Timings,Signal_4_Timings,Avg_Queue_Length,Avg_Delay_Time
Monday,0,319,83,79,84,73,G:35|R:55,G:45|R:45,G:48|R:42,G:32|R:58,6.26,37.93
Tuesday,3,180,47,51,44,38,G:43|R:47,G:48|R:42,G:29|R:61,G:58|R:32,12.44,18.58
Tuesday,4,395,102,105,102,86,G:24|R:66,G:23|R:67,G:49|R:41,G:52|R:38,9.16,40.57
Tuesday,5,68,14,14,22,18,G:47|R:43,G:49|R:41,G:57|R:33,G:55|R:35,13.53,25.86
Tuesday,6,138,36,36,37,29,G:56|R:34,G:43|R:47,G:46|R:44,G:59|R:31,19.53,10.22
Tuesday,7,338,70,90,83,95,G:40|R:80,G:52|R:68,G:52|R:68,G:57|R:63,11.44,34.24
Tuesday,8,686,171,181,157,177,G:35|R:85,G:45|R:75,G:43|R:77,G:52|R:68,16.28,34.25
Tuesday,9,372,92,83,90,107,G:41|R:79,G:30|R:90,G:49|R:71,G:32|R:88,12.36,19.09
Tuesday,10,257,68,68,61,60,G:21|R:99,G:52|R:68,G:53|R:67,G:42|R:78,7.45,39.02
Tuesday,11,826,238,199,206,183,G:45|R:75,G:28|R:92,G:20|R:100,G:40|R:80,12.86,18.63
Tuesday,12,831,173,214,228,216,G:46|R:74,G:31|R:89,G:51|R:69,G:29|R:91,10.21,13.0
Tuesday,13,760,185,193,200,182,G:43|R:77,G:44|R:76,G:20|R:100,G:42|R:78,7.99,15.92
Tuesday,14,948,253,238,216,241,G:51|R:69,G:29|R:91,G:47|R:73,G:27|R:93,10.24,42.51
Tuesday,15,767,204,167,209,187,G:45|R:75,G:47|R:73,G:29|R:91,G:57|R:63,9.3,26.89
Tuesday,16,310,76,71,80,83,G:22|R:98,G:48|R:72,G:20|R:100,G:56|R:64,15.23,21.88
Tuesday,17,913,243,223,216,231,G:46|R:74,G:43|R:77,G:56|R:64,G:35|R:85,11.05,20.97
Tuesday,18,433,124,98,107,104,G:20|R:100,G:28|R:92,G:52|R:68,G:25|R:95,5.46,21.64
Tuesday,19,730,158,203,193,176,G:56|R:64,G:33|R:87,G:58|R:62,G:57|R:63,14.76,43.61
Tuesday,20,975,268,232,252,223,G:58|R:62,G:34|R:86,G:42|R:78,G:42|R:78,14.28,10.27
Tuesday,21,144,33,41,29,41,G:42|R:48,G:52|R:38,G:34|R:56,G:29|R:61,13.99,20.18
Tuesday,22,362,87,90,90,95,G:52|R:38,G:56|R:34,G:22|R:68,G:49|R:41,16.52,34.05
Tuesday,23,397,105,89,112,91,G:21|R:69,G:38|R:52,G:21|R:69,G:37|R:53,6.06,42.66
Wednesday,0,319,74,71,84,90,G:58|R:32,G:47|R:43,G:28|R:62,G:28|R:62,7.05,14.27
Wednesday,1,140,33,39,35,33,G:23|R:67,G:51|R:39,G:56|R:34,G:41|R:49,6.33,11.63
Wednesday,2,272,65,64,75,68,G:30|R:60,G:53|R:37,G:40|R:50,G:22|R:68,19.23,41.72
Wednesday,3,67,10,17,19,21,G:55|R:35,G:47|R:43,G:58|R:32,G:34|R:56,16.62,34.93
Wednesday,4,375,96,93,87,99,G:31|R:59,G:36|R:54,G:38|R:52,G:46|R:44,9.51,33.79
Wednesday,5,355,94,91,85,85,G:32|R:58,G:57|R:33,G:53|R:37,G:50|R:40,14.77,31.61
Wednesday,6,175,50,41,44,40,G:57|R:33,G:24|R:66,G:49|R:41,G:47|R:43,11.87,16.85
Wednesday,7,716,181,187,158,190,G:52|R:68,G:28|R:92,G:31|R:89,G:37|R:83,14.61,33.66
Wednesday,8,848,197,224,206,221,G:45|R:75,G:27|R:93,G:24|R:96,G:28|R:92,18.26,34.71
Wednesday,9,648,170,165,170,143,G:35|R:85,G:20|R:100,G:43|R:77,G:24|R:96,13.9,17.62
Wednesday,10,322,80,74,93,75,G:31|R:89,G:53|R:67,G:26|R:94,G:39|R:81,11.21,21.63
Wednesday,11,847,224,215,206,202,G:48|R:72,G:48|R:72,G:23|R:97,G:48|R:72,13.09,39.13
Wednesday,12,474,122,111,126,115,G:20|R:100,G:23|R:97,G:42|R:78,G:45|R:75,18.87,21.78
Wednesday,13,308,81,75,79,73,G:53|R:67,G:54|R:66,G:33|R:87,G:34|R:86,5.53,19.51
Wednesday,14,656,179,151,159,167,G:35|R:85,G:30|R:90,G:32|R:88,G:29|R:91,19.78,41.02
Wednesday,15,757,190,170,203,194,G:38|R:82,G:21|R:99,G:56|R:64,G:27|R:93,16.82,29.02
Wednesday,16,250,58,58,71,63,G:59|R:61,G:45|R:75,G:49|R:71,G:22|R:98,13.08,43.39
Wednesday,17,548,134,162,120,132,G:59|R:61,G:53|R:67,G:47|R:73,G:48|R:72,6.62,34.0
Wednesday,18,638,155,148,177,158,G:40|R:80,G:50|R:70,G:49|R:71,G:49|R:71,12.89,26.1
Wednesday,19,931,255,226,235,215,G:27|R:93,G:38|R:82,G:37|R:83,G:51|R:69,19.66,18.35
Wednesday,20,803,222,172,196,213,G:35|R:85,G:31|R:89,G:38|R:82,G:26|R:94,6.67,38.95
Wednesday,21,389,110,100,102,77,G:56|R:34,G:41|R:49,G:48|R:42,G:24|R:66,6.64,44.0
Wednesday,22,349,97,81,87,84,G:28|R:62,G:43|R:47,G:44|R:46,G:32|R:58,12.96,28.2
Wednesday,23,245,54,61,74,56,G:35|R:55,G:39|R:51,G:50|R:40,G:30|R:60,7.59,14.38
Thursday,0,204,47,54,50,53,G:48|R:42,G:49|R:41,G:29|R:61,G:40|R:50,15.46,25.29
Thursday,1,94,21,29,22,22,G:43|R:47,G:28|R:62,G:23|R:67,G:43|R:47,10.68,26.18
Thursday,2,91,16,25,25,25,G:32|R:58,G:35|R:55,G:48|R:42,G:59|R:31,16.86,36.41
Thursday,3,355,91,88,100,76,G:37|R:53,G:32|R:58,G:58|R:32,G:27|R:63,17.32,43.68
Thursday,4,346,83,91,92,80,G:50|R:40,G:48|R:42,G:31|R:59,G:20|R:70,12.73,14.02
Thursday,5,74,20,14,23,17,G:20|R:70,G:38|R:52,G:23|R:67,G:24|R:66,16.39,16.06
Thursday,6,288,79,69,70,70,G:46|R:44,G:28|R:62,G:25|R:65,G:41|R:49,12.1,31.8
Thursday,7,228,46,51,74,57,G:22|R:98,G:44|R:76,G:48|R:72,G:20|R:100,7.11,29.5
Thursday,8,905,233,230,222,220,G:54|R:66,G:27|R:93,G:29|R:91,G:42|R:78,16.2,25.37
Thursday,9,957,234,251,236,236,G:42|R:78,G:22|R:98,G:52|R:68,G:33|R:87,8.71,31.69
Thursday,10,689,167,181,169,172,G:40|R:80,G:35|R:85,G:48|R:72,G:22|R:98,8.5,17.35
Thursday,11,773,194,205,208,166,G:56|R:64,G:20|R:100,G:35|R:85,G:57|R:63,15.68,27.09
Thursday,12,223,70,56,48,49,G:35|R:85,G:37|R:83,G:50|R:70,G:26|R:94,17.21,33.92
Thursday,13,308,78,73,74,83,G:57|R:63,G:27|R:93,G:41|R:79,G:46|R:74,12.21,37.1
Thursday,14,712,170,169,185,188,G:27|R:93,G:27|R:93,G:54|R:66,G:52|R:68,13.34,17.72
Thursday,15,874,223,207,216,228,G:32|R:88,G:46|R:74,G:54|R:66,G:59|R:61,12.26,16.8
Thursday,16,386,98,95,104,89,G:30|R:90,G:32|R:88,G:48|R:72,G:52|R:68,10.11,28.26
Thursday,17,657,159,182,167,149,G:47|R:73,G:32|R:88,G:36|R:84,G:40|R:80,7.96,40.47
Thursday,18,463,119,125,106,113,G:33|R:87,G:31|R:89,G:39|R:81,G:44|R:76,18.4,12.03
Thursday,19,214,63,51,47,53,G:49|R:71,G:29|R:91,G:38|R:82,G:49|R:71,7.91,39.36
Thursday,20,557,148,140,128,141,G:34|R:86,G:39|R:81,G:26|R:94,G:31|R:89,19.17,26.52
Thursday,21,314,86,76,81,71,G:26|R:64,G:44|R:46,G:33|R:57,G:31|R:59,6.48,37.02
Thursday,22,383,90,94,109,90,G:42|R:48,G:24|R:66,G:40|R:50,G:27|R:63,7.55,19.05
Thursday,23,331,85,81,84,81,G:45|R:45,G:51|R:39,G:44|R:46,G:25|R:65,12.14,33.97
Friday,0,309,80,72,97,60,G:51|R:39,G:34|R:56,G:43|R:47,G:27|R:63,7.51,19.8
Friday,1,381,78,105,99,99,G:42|R:48,G:34|R:56,G:52|R:38,G:54|R:36,19.32,23.38
Friday,2,124,38,27,27,32,G:46|R:44,G:46|R:44,G:20|R:70,G:23|R:67,14.65,20.92
Friday,3,129,28,31,34,36,G:31|R:59,G:44|R:46,G:46|R:44,G:34|R:56,9.03,19.65
Friday,4,288,60,81,74,73,G:26|R:64,G:51|R:39,G:33|R:57,G:35|R:55,8.78,12.12
Friday,5,207,47,53,53,54,G:45|R:45,G:51|R:39,G:35|R:55,G:49|R:41,18.4,21.21
Friday,6,194,50,51,45,48,G:36|R:54,G:34|R:56,G:51|R:39,G:20|R:70,14.62,31.65
Friday,7,226,52,59,57,58,G:29|R:91,G:54|R:66,G:24|R:96,G:22|R:98,6.38,33.77
Friday,8,670,177,178,150,165,G:56|R:64,G:37|R:83,G:24|R:96,G:39|R:81,14.92,17.06
Friday,9,421,98,107,113,103,G:49|R:71,G:46|R:74,G:20|R:100,G:25|R:95,11.48,16.37
Friday,10,910,245,220,221,224,G:47|R:73,G:20|R:100,G:33|R:87,G:36|R:84,12.53,25.81
Friday,11,985,272,211,263,239,G:24|R:96,G:28|R:92,G:22|R:98,G:42|R:78,12.07,38.19
Friday,12,804,194,205,213,192,G:25|R:95,G:42|R:78,G:48|R:72,G:54|R:66,18.2,38.56
Friday,13,679,181,162,155,181,G:59|R:61,G:38|R:82,G:23|R:97,G:34|R:86,15.55,41.76
Friday,14,319,75,77,95,72,G:24|R:96,G:23|R:97,G:23|R:97,G:23|R:97,8.15,17.5
Friday,15,843,201,223,190,229,G:58|R:62,G:53|R:67,G:59|R:61,G:41|R:79,9.3,42.28
Friday,16,402,119,95,91,97,G:46|R:74,G:57|R:63,G:54|R:66,G:26|R:94,5.08,18.28
Friday,17,406,113,109,102,82,G:41|R:79,G:23|R:97,G:20|R:100,G:59|R:61,14.24,30.18
Friday,18,322,79,86,84,73,G:34|R:86,G:22|R:98,G:38|R:82,G:37|R:83,19.31,27.07
Friday,19,915,216,207,248,244,G:55|R:65,G:31|R:89,G:44|R:76,G:40|R:80,10.37,28.9
Friday,20,329,82,79,86,82,G:44|R:76,G:28|R:92,G:33|R:87,G:47|R:73,11.19,35.91
Friday,21,323,78,72,83,90,G:55|R:35,G:29|R:61,G:51|R:39,G:52|R:38,8.45,21.81
Friday,22,157,35,42,37,43,G:48|R:42,G:22|R:68,G:47|R:43,G:54|R:36,8.84,17.27
Friday,23,187,40,57,48,42,G:43|R:47,G:26|R:64,G:25|R:65,G:42|R:48,8.19,11.85
Saturday,0,382,85,98,101,98,G:55|R:35,G:45|R:45,G:39|R:51,G:59|R:31,17.32,12.51
Saturday,1,370,105,86,104,75,G:30|R:60,G:34|R:56,G:26|R:64,G:34|R:56,10.98,41.49
Saturday,2,69,14,13,17,25,G:40|R:50,G:54|R:36,G:34|R:56,G:33|R:57,9.01,33.78
Saturday,3,191,50,42,47,52,G:27|R:63,G:35|R:55,G:23|R:67,G:24|R:66,12.64,35.07
Saturday,4,184,51,40,47,46,G:43|R:47,G:36|R:54,G:39|R:51,G:36|R:54,16.42,29.59
Saturday,5,122,31,26,30,35,G:24|R:66,G:34|R:56,G:22|R:68,G:32|R:58,10.15,26.3
Saturday,6,159,35,46,34,44,G:33|R:57,G:33|R:57,G:52|R:38,G:54|R:36,13.26,42.32
Saturday,7,425,91,121,111,102,G:20|R:100,G:29|R:91,G:21|R:99,G:59|R:61,17.53,37.81
Saturday,8,399,110,103,100,86,G:49|R:71,G:53|R:67,G:36|R:84,G:57|R:63,19.82,27.27
Saturday,9,841,205,220,200,216,G:40|R:80,G:25|R:95,G:37|R:83,G:49|R:71,11.25,11.51
Saturday,10,732,180,223,173,156,G:20|R:100,G:22|R:98,G:35|R:85,G:36|R:84,13.76,18.24
Saturday,11,276,66,68,71,71,G:49|R:71,G:39|R:81,G:27|R:93,G:29|R:91,15.77,22.17
Saturday,12,712,189,188,171,164,G:38|R:82,G:40|R:80,G:57|R:63,G:44|R:76,9.39,29.28
Saturday,13,998,246,242,258,252,G:32|R:88,G:41|R:79,G:44|R:76,G:27|R:93,15.26,30.95
Saturday,14,564,145,138,154,127,G:42|R:78,G:21|R:99,G:32|R:88,G:25|R:95,12.26,12.86
Saturday,15,775,201,201,198,175,G:27|R:93,G:51|R:69,G:20|R:100,G:59|R:61,16.73,38.01
Saturday,16,639,149,172,135,183,G:58|R:62,G:43|R:77,G:38|R:82,G:49|R:71,18.05,38.03
Saturday,17,366,76,93,115,82,G:36|R:84,G:34|R:86,G:23|R:97,G:59|R:61,16.96,16.45
Saturday,18,335,86,74,90,85,G:49|R:71,G:22|R:98,G:58|R:62,G:23|R:97,12.28,31.14
Saturday,19,545,128,141,142,134,G:39|R:81,G:33|R:87,G:55|R:65,G:32|R:88,10.1,24.51
Saturday,20,554,142,141,151,120,G:35|R:85,G:50|R:70,G:29|R:91,G:39|R:81,11.82,10.44
Saturday,21,345,87,82,84,92,G:53|R:37,G:21|R:69,G:38|R:52,G:26|R:64,14.87,31.74
Saturday,22,162,37,37,49,39,G:46|R:44,G:46|R:44,G:39|R:51,G:32|R:58,16.84,32.73
Saturday,23,228,65,50,59,54,G:32|R:58,G:25|R:65,G:25|R:65,G:56|R:34,8.2,11.76
Sunday,0,367,91,80,100,96,G:47|R:43,G:55|R:35,G:27|R:63,G:23|R:67,10.13,32.89
Sunday,1,280,59,68,73,80,G:52|R:38,G:46|R:44,G:45|R:45,G:32|R:58,6.73,32.74
Sunday,2,315,82,87,73,73,G:54|R:36,G:29|R:61,G:20|R:70,G:42|R:48,13.34,44.84
Sunday,3,129,28,34,33,34,G:25|R:65,G:34|R:56,G:41|R:49,G:23|R:67,13.48,29.36
Sunday,4,280,70,84,58,68,G:41|R:49,G:20|R:70,G:45|R:45,G:25|R:65,18.05,10.47
Sunday,5,235,59,59,56,61,G:50|R:40,G:53|R:37,G:51|R:39,G:41|R:49,12.33,21.71
Sunday,6,111,26,28,32,25,G:31|R:59,G:43|R:47,G:48|R:42,G:53|R:37,9.42,43.55
Sunday,7,710,177,162,183,188,G:45|R:75,G:24|R:96,G:39|R:81,G:45|R:75,14.42,16.46
Sunday,8,460,113,126,118,103,G:23|R:97,G:34|R:86,G:43|R:77,G:33|R:87,12.99,31.83
Sunday,9,500,123,131,125,121,G:30|R:90,G:38|R:82,G:31|R:89,G:26|R:94,16.03,26.12
Sunday,10,428,102,106,111,109,G:29|R:91,G:52|R:68,G:56|R:64,G:25|R:95,14.6,15.19
Sunday,11,579,145,138,158,138,G:43|R:77,G:35|R:85,G:29|R:91,G:46|R:74,9.68,18.89
Sunday,12,717,179,176,191,171,G:27|R:93,G:53|R:67,G:34|R:86,G:40|R:80,18.85,28.17
Sunday,13,687,176,184,167,160,G:20|R:100,G:58|R:62,G:25|R:95,G:49|R:71,5.06,26.59
Sunday,14,467,115,108,118,126,G:55|R:65,G:49|R:71,G:43|R:77,G:52|R:68,18.8,19.2
Sunday,15,478,113,127,126,112,G:23|R:97,G:35|R:85,G:58|R:62,G:54|R:66,19.37,14.94
Sunday,16,380,92,84,107,97,G:45|R:75,G:54|R:66,G:27|R:93,G:44|R:76,12.85,42.04
Sunday,17,786,220,206,173,187,G:42|R:78,G:40|R:80,G:22|R:98,G:38|R:82,19.29,27.42
Sunday,18,333,77,89,88,79,G:21|R:99,G:58|R:62,G:38|R:82,G:29|R:91,14.88,15.18
Sunday,19,245,63,58,59,65,G:22|R:98,G:22|R:98,G:56|R:64,G:37|R:83,15.5,24.4
Sunday,20,765,196,208,168,193,G:20|R:100,G:55|R:65,G:56|R:64,G:33|R:87,16.93,17.33
Sunday,21,323,76,79,82,86,G:43|R:47,G:30|R:60,G:33|R:57,G:23|R:67,9.88,30.83
Sunday,22,121,27,28,30,36,G:23|R:67,G:53|R:37,G:32|R:58,G:57|R:33,5.49,40.8
Sunday,23,126,41,20,35,30,G:57|R:33,G:54|R:36,G:34|R:56,G:30|R:60,11.19,39.55
