Day,Hour,Total_Vehicles,Signal_1_Vehicles,Signal_2_Vehicles,Signal_3_Vehicles,Signal_4_Vehicles,Signal_1_Timings,Signal_2_Timings,Signal_3_Timings,Signal_4_Timings,Avg_Queue_Length,Avg_Delay_Time
Monday,0,173,39,42,49,43,G:28|R:62,G:22|R:68,G:27|R:63,G:51|R:39,16.88,42.34
Tuesday,6,395,110,110,88,87,G:45|R:45,G:32|R:58,G:41|R:49,G:56|R:34,18.43,44.52
Tuesday,7,982,268,237,217,260,G:28|R:92,G:39|R:81,G:48|R:72,G:32|R:88,13.08,31.1
Tuesday,8,806,203,212,193,198,G:53|R:67,G:24|R:96,G:50|R:70,G:43|R:77,15.32,29.98
Tuesday,9,743,188,201,174,180,G:22|R:98,G:26|R:94,G:43|R:77,G:44|R:76,17.91,26.3
Tuesday,10,396,105,111,80,100,G:40|R:80,G:53|R:67,G:41|R:79,G:24|R:96,17.16,17.21
Tuesday,11,435,117,100,105,113,G:37|R:83,G:22|R:98,G:51|R:69,G:53|R:67,15.76,24.35
Tuesday,12,984,267,242,230,245,G:29|R:91,G:37|R:83,G:23|R:97,G:44|R:76,10.48,30.81
Tuesday,13,793,204,171,207,211,G:38|R:82,G:52|R:68,G:42|R:78,G:24|R:96,19.4,29.3
Tuesday,14,813,203,208,210,192,G:56|R:64,G:43|R:77,G:27|R:93,G:52|R:68,14.77,12.51
Tuesday,15,297,73,57,85,82,G:53|R:67,G:31|R:89,G:48|R:72,G:48|R:72,5.46,38.24
Tuesday,16,526,142,127,123,134,G:26|R:94,G:54|R:66,G:43|R:77,G:47|R:73,9.3,18.2
Tuesday,17,708,165,197,174,172,G:58|R:62,G:37|R:83,G:53|R:67,G:59|R:61,19.21,13.7
Tuesday,18,560,141,137,139,143,G:44|R:76,G:37|R:83,G:43|R:77,G:44|R:76,6.79,25.68
Tuesday,19,318,73,76,96,73,G:59|R:61,G:22|R:98,G:51|R:69,G:47|R:73,17.59,37.49
Tuesday,20,345,93,93,92,67,G:50|R:70,G:52|R:68,G:57|R:63,G:32|R:88,9.36,35.65
Tuesday,21,103,22,26,20,35,G:21|R:69,G:25|R:65,G:35|R:55,G:46|R:44,15.38,10.83
Tuesday,22,270,68,80,65,57,G:54|R:36,G:36|R:54,G:20|R:70,G:49|R:41,11.84,19.24
Tuesday,23,243,67,53,54,69,G:35|R:55,G:25|R:65,G:41|R:49,G:32|R:58,17.43,30.48
Wednesday,0,270,74,60,58,78,G:56|R:34,G:42|R:48,G:54|R:36,G:54|R:36,16.98,30.54
Wednesday,1,223,57,71,53,42,G:51|R:39,G:48|R:42,G:56|R:34,G:27|R:63,6.63,12.74
Wednesday,2,151,28,48,38,37,G:31|R:59,G:38|R:52,G:35|R:55,G:51|R:39,6.11,33.44
Wednesday,3,335,81,64,105,85,G:47|R:43,G:25|R:65,G:44|R:46,G:24|R:66,18.23,27.5
Wednesday,4,238,60,65,59,54,G:28|R:62,G:27|R:63,G:36|R:54,G:35|R:55,11.26,19.14
Wednesday,5,54,8,13,17,16,G:23|R:67,G:54|R:36,G:21|R:69,G:59|R:31,5.27,34.24
Wednesday,6,376,85,99,103,89,G:37|R:53,G:29|R:61,G:46|R:44,G:30|R:60,15.4,27.01
Wednesday,7,781,181,190,210,200,G:33|R:87,G:21|R:99,G:39|R:81,G:53|R:67,7.27,34.02
Wednesday,8,959,258,230,235,236,G:48|R:72,G:33|R:87,G:20|R:100,G:51|R:69,9.34,40.08
Wednesday,9,350,92,86,89,83,G:36|R:84,G:32|R:88,G:29|R:91,G:24|R:96,12.58,40.47
Wednesday,10,532,121,135,132,144,G:59|R:61,G:54|R:66,G:46|R:74,G:33|R:87,13.54,32.07
Wednesday,11,822,197,209,220,196,G:59|R:61,G:54|R:66,G:23|R:97,G:41|R:79,7.31,33.87
Wednesday,12,817,200,213,191,213,G:22|R:98,G:22|R:98,G:50|R:70,G:35|R:85,16.98,26.97
Wednesday,13,964,253,260,236,215,G:54|R:66,G:30|R:90,G:48|R:72,G:27|R:93,15.05,42.41
Wednesday,14,536,144,146,125,121,G:52|R:68,G:45|R:75,G:52|R:68,G:23|R:97,16.74,36.03
Wednesday,15,514,130,126,130,128,G:57|R:63,G:28|R:92,G:43|R:77,G:40|R:80,19.67,39.92
Wednesday,16,836,217,204,197,218,G:30|R:90,G:27|R:93,G:52|R:68,G:38|R:82,6.16,31.83
Wednesday,17,416,92,89,110,125,G:54|R:66,G:35|R:85,G:49|R:71,G:59|R:61,9.94,26.38
Wednesday,18,507,113,123,152,119,G:36|R:84,G:46|R:74,G:47|R:73,G:53|R:67,9.78,32.08
Wednesday,19,281,74,70,65,72,G:44|R:76,G:48|R:72,G:38|R:82,G:48|R:72,18.88,41.91
Wednesday,20,836,219,178,220,219,G:21|R:99,G:42|R:78,G:39|R:81,G:53|R:67,13.6,23.72
Wednesday,21,350,85,93,87,85,G:40|R:50,G:28|R:62,G:51|R:39,G:49|R:41,19.22,18.13
Wednesday,22,290,76,70,78,66,G:40|R:50,G:23|R:67,G:28|R:62,G:32|R:58,7.39,19.37
Wednesday,23,279,76,70,71,62,G:36|R:54,G:37|R:53,G:40|R:50,G:46|R:44,17.14,26.55
Thursday,0,92,26,23,19,24,G:25|R:65,G:26|R:64,G:52|R:38,G:53|R:37,7.46,42.45
Thursday,1,295,75,78,78,64,G:59|R:31,G:26|R:64,G:53|R:37,G:55|R:35,10.94,16.16
Thursday,2,350,81,104,88,77,G:34|R:56,G:30|R:60,G:41|R:49,G:32|R:58,8.34,30.82
Thursday,3,287,77,80,68,62,G:27|R:63,G:43|R:47,G:46|R:44,G:24|R:66,7.59,41.39
Thursday,4,358,86,84,104,84,G:38|R:52,G:49|R:41,G:58|R:32,G:29|R:61,18.62,30.98
Thursday,5,316,89,82,75,70,G:37|R:53,G:29|R:61,G:52|R:38,G:59|R:31,12.56,32.04
Thursday,6,187,47,46,49,45,G:56|R:34,G:45|R:45,G:38|R:52,G:22|R:68,15.27,13.45
Thursday,7,954,224,240,233,257,G:48|R:72,G:55|R:65,G:23|R:97,G:33|R:87,9.08,34.55
Thursday,8,394,93,106,96,99,G:57|R:63,G:48|R:72,G:28|R:92,G:47|R:73,5.8,43.09
Thursday,9,820,209,194,201,216,G:52|R:68,G:34|R:86,G:36|R:84,G:35|R:85,16.28,35.61
Thursday,10,563,142,144,123,154,G:39|R:81,G:38|R:82,G:49|R:71,G:25|R:95,6.71,13.46
Thursday,11,525,128,146,138,113,G:22|R:98,G:45|R:75,G:50|R:70,G:47|R:73,8.93,31.25
Thursday,12,500,133,133,107,127,G:49|R:71,G:40|R:80,G:48|R:72,G:54|R:66,17.43,20.69
Thursday,13,705,165,178,179,183,G:54|R:66,G:32|R:88,G:21|R:99,G:31|R:89,11.04,38.15
Thursday,14,631,170,154,167,140,G:35|R:85,G:32|R:88,G:41|R:79,G:46|R:74,6.56,19.11
Thursday,15,839,232,215,209,183,G:54|R:66,G:50|R:70,G:47|R:73,G:43|R:77,12.97,29.4
Thursday,16,793,197,181,220,195,G:43|R:77,G:48|R:72,G:21|R:99,G:48|R:72,17.48,19.48
Thursday,17,885,240,217,214,214,G:48|R:72,G:40|R:80,G:26|R:94,G:51|R:69,8.86,13.12
Thursday,18,972,238,249,238,247,G:22|R:98,G:37|R:83,G:39|R:81,G:58|R:62,12.47,10.22
Thursday,19,678,171,173,174,160,G:41|R:79,G:29|R:91,G:37|R:83,G:55|R:65,6.22,37.5
Thursday,20,425,109,114,98,104,G:52|R:68,G:53|R:67,G:38|R:82,G:31|R:89,6.97,42.92
Thursday,21,228,62,61,47,58,G:54|R:36,G:22|R:68,G:39|R:51,G:25|R:65,16.48,31.84
Thursday,22,154,34,48,33,39,G:50|R:40,G:52|R:38,G:32|R:58,G:31|R:59,7.36,25.75
Thursday,23,122,33,28,26,35,G:39|R:51,G:35|R:55,G:28|R:62,G:21|R:69,15.3,37.49
Friday,0,382,87,96,117,82,G:27|R:63,G:52|R:38,G:33|R:57,G:43|R:47,18.72,39.19
Friday,1,181,44,33,50,54,G:55|R:35,G:26|R:64,G:21|R:69,G:32|R:58,8.51,30.72
Friday,2,72,20,20,16,16,G:34|R:56,G:52|R:38,G:33|R:57,G:30|R:60,15.74,29.61
Friday,3,51,15,11,12,13,G:48|R:42,G:43|R:47,G:39|R:51,G:22|R:68,18.61,25.37
Friday,4,317,76,82,76,83,G:34|R:56,G:52|R:38,G:26|R:64,G:58|R:32,6.3,36.33
Friday,5,66,16,18,16,16,G:27|R:63,G:27|R:63,G:51|R:39,G:49|R:41,8.74,39.95
Friday,6,168,44,51,36,37,G:52|R:38,G:32|R:58,G:20|R:70,G:24|R:66,10.7,19.46
Friday,7,244,68,70,54,52,G:42|R:78,G:27|R:93,G:21|R:99,G:58|R:62,16.65,17.4
Friday,8,475,123,118,108,126,G:40|R:80,G:36|R:84,G:37|R:83,G:36|R:84,16.54,42.5
Friday,9,586,144,132,137,173,G:46|R:74,G:38|R:82,G:20|R:100,G:46|R:74,16.05,13.93
Friday,10,941,225,219,261,236,G:23|R:97,G:58|R:62,G:26|R:94,G:29|R:91,9.31,29.7
Friday,11,778,184,177,199,218,G:31|R:89,G:44|R:76,G:22|R:98,G:59|R:61,10.03,42.78
Friday,12,841,193,222,231,195,G:54|R:66,G:43|R:77,G:48|R:72,G:27|R:93,12.79,37.1
Friday,13,521,146,132,125,118,G:22|R:98,G:42|R:78,G:47|R:73,G:30|R:90,18.73,37.3
Friday,14,319,78,76,79,86,G:29|R:91,G:45|R:75,G:38|R:82,G:47|R:73,8.54,14.66
Friday,15,607,158,153,144,152,G:44|R:76,G:40|R:80,G:52|R:68,G:31|R:89,6.2,33.25
Friday,16,519,116,138,129,136,G:40|R:80,G:33|R:87,G:39|R:81,G:42|R:78,12.32,32.09
Friday,17,278,67,81,65,65,G:48|R:72,G:29|R:91,G:28|R:92,G:30|R:90,9.29,23.32
Friday,18,762,198,203,178,183,G:38|R:82,G:22|R:98,G:22|R:98,G:58|R:62,7.28,14.51
Friday,19,973,230,265,232,246,G:31|R:89,G:20|R:100,G:52|R:68,G:45|R:75,11.59,18.44
Friday,20,648,159,164,155,170,G:36|R:84,G:30|R:90,G:21|R:99,G:26|R:94,19.29,20.8
Friday,21,150,41,36,31,42,G:55|R:35,G:36|R:54,G:46|R:44,G:46|R:44,12.12,30.35
Friday,22,71,18,18,14,21,G:39|R:51,G:45|R:45,G:41|R:49,G:36|R:54,6.98,35.9
Friday,23,204,52,62,51,39,G:36|R:54,G:27|R:63,G:46|R:44,G:56|R:34,18.33,30.02
Saturday,0,171,39,52,42,38,G:59|R:31,G:26|R:64,G:54|R:36,G:41|R:49,18.02,33.39
Saturday,1,341,81,84,75,101,G:54|R:36,G:55|R:35,G:35|R:55,G:40|R:50,14.3,15.66
Saturday,2,222,56,50,54,62,G:53|R:37,G:55|R:35,G:57|R:33,G:52|R:38,18.67,18.65
Saturday,3,332,89,69,83,91,G:22|R:68,G:53|R:37,G:47|R:43,G:46|R:44,15.67,33.14
Saturday,4,210,57,44,54,55,G:35|R:55,G:48|R:42,G:50|R:40,G:55|R:35,11.23,12.96
Saturday,5,213,58,51,45,59,G:46|R:44,G:54|R:36,G:52|R:38,G:58|R:32,13.02,13.84
Saturday,6,72,23,15,17,17,G:28|R:62,G:39|R:51,G:57|R:33,G:46|R:44,19.25,20.6
Saturday,7,664,161,157,163,183,G:42|R:78,G:34|R:86,G:42|R:78,G:21|R:99,16.75,12.05
Saturday,8,507,126,129,130,122,G:43|R:77,G:37|R:83,G:45|R:75,G:35|R:85,5.54,30.11
Saturday,9,669,169,185,172,143,G:29|R:91,G:45|R:75,G:55|R:65,G:22|R:98,11.85,16.46
Saturday,10,887,217,234,244,192,G:51|R:69,G:22|R:98,G:35|R:85,G:52|R:68,14.21,40.88
Saturday,11,289,81,62,68,78,G:51|R:69,G:47|R:73,G:51|R:69,G:53|R:67,18.36,43.32
Saturday,12,435,118,104,109,104,G:31|R:89,G:35|R:85,G:20|R:100,G:38|R:82,12.03,28.59
Saturday,13,383,74,120,88,101,G:53|R:67,G:35|R:85,G:28|R:92,G:49|R:71,13.31,16.97
Saturday,14,704,168,167,177,192,G:41|R:79,G:57|R:63,G:59|R:61,G:42|R:78,14.33,21.02
Saturday,15,938,210,234,239,255,G:40|R:80,G:55|R:65,G:39|R:81,G:22|R:98,9.13,28.3
Saturday,16,481,115,121,130,115,G:31|R:89,G:50|R:70,G:43|R:77,G:31|R:89,6.35,38.37
Saturday,17,869,198,202,217,252,G:42|R:78,G:35|R:85,G:56|R:64,G:34|R:86,18.88,21.43
Saturday,18,438,95,120,103,120,G:37|R:83,G:46|R:74,G:32|R:88,G:36|R:84,8.4,17.38
Saturday,19,252,65,67,60,60,G:26|R:94,G:33|R:87,G:39|R:81,G:32|R:88,15.12,15.92
Saturday,20,486,128,124,113,121,G:55|R:65,G:38|R:82,G:38|R:82,G:56|R:64,13.54,25.72
Saturday,21,301,77,67,70,87,G:54|R:36,G:23|R:67,G:57|R:33,G:43|R:47,16.25,37.6
Saturday,22,385,106,92,84,103,G:38|R:52,G:44|R:46,G:27|R:63,G:35|R:55,19.28,41.04
Saturday,23,201,55,63,39,44,G:59|R:31,G:29|R:61,G:21|R:69,G:47|R:43,9.81,35.88
Sunday,0,317,90,76,83,68,G:51|R:39,G:32|R:58,G:49|R:41,G:59|R:31,9.86,35.46
Sunday,1,114,34,24,34,22,G:42|R:48,G:50|R:40,G:20|R:70,G:22|R:68,15.26,40.81
Sunday,2,146,34,33,42,37,G:36|R:54,G:47|R:43,G:27|R:63,G:24|R:66,5.89,24.26
Sunday,3,271,57,63,71,80,G:32|R:58,G:55|R:35,G:25|R:65,G:40|R:50,15.26,40.92
Sunday,4,144,32,39,44,29,G:45|R:45,G:44|R:46,G:35|R:55,G:55|R:35,13.71,12.17
Sunday,5,152,34,30,38,50,G:29|R:61,G:57|R:33,G:56|R:34,G:56|R:34,12.3,27.51
Sunday,6,251,63,54,64,70,G:27|R:63,G:58|R:32,G:31|R:59,G:58|R:32,12.26,18.19
Sunday,7,911,221,211,226,253,G:21|R:99,G:29|R:91,G:54|R:66,G:47|R:73,13.47,27.8
Sunday,8,255,61,60,67,67,G:57|R:63,G:31|R:89,G:51|R:69,G:43|R:77,13.47,25.42
Sunday,9,702,180,204,172,146,G:32|R:88,G:56|R:64,G:20|R:100,G:56|R:64,11.1,23.74
Sunday,10,265,74,59,65,67,G:46|R:74,G:47|R:73,G:34|R:86,G:32|R:88,13.35,29.64
Sunday,11,321,92,75,73,81,G:37|R:83,G:46|R:74,G:25|R:95,G:21|R:99,10.98,27.92
Sunday,12,215,50,56,53,56,G:30|R:90,G:23|R:97,G:51|R:69,G:59|R:61,13.22,28.31
Sunday,13,336,93,85,82,76,G:56|R:64,G:28|R:92,G:48|R:72,G:34|R:86,11.39,24.91
Sunday,14,266,58,78,63,67,G:20|R:100,G:42|R:78,G:50|R:70,G:30|R:90,9.84,17.11
Sunday,15,461,115,106,118,122,G:33|R:87,G:50|R:70,G:43|R:77,G:27|R:93,8.94,22.44
Sunday,16,941,257,238,211,235,G:56|R:64,G:44|R:76,G:30|R:90,G:49|R:71,5.63,31.21
Sunday,17,389,99,77,115,98,G:47|R:73,G:21|R:99,G:35|R:85,G:30|R:90,5.63,15.72
Sunday,18,216,47,58,58,53,G:29|R:91,G:39|R:81,G:22|R:98,G:53|R:67,12.94,38.79
Sunday,19,329,84,74,87,84,G:25|R:95,G:46|R:74,G:57|R:63,G:44|R:76,17.42,37.56
Sunday,20,284,71,70,72,71,G:52|R:68,G:57|R:63,G:44|R:76,G:57|R:63,11.55,18.69
Sunday,21,61,14,15,15,17,G:21|R:69,G:37|R:53,G:39|R:51,G:21|R:69,6.66,35.48
Sunday,22,53,17,15,12,9,G:57|R:33,G:55|R:35,G:50|R:40,G:33|R:57,10.48,18.9
Sunday,23,327,80,88,86,73,G:59|R:31,G:52|R:38,G:58|R:32,G:28|R:62,12.53,12.81
